country,sex,age,fatality,año,mes,shark_specimen,tipo_lesion,lugar_lesion
USA,M,unkwown,Desconocido,2017,06,others/unknown,others/unknown,brazos
USA,F,16,N,2017,06,others/unknown,mordiscos,pies
USA,M,unkwown,N,2017,06,others/unknown,laceración,piernas
USA,F,14,N,2017,06,bull,mordiscos,piernas
REUNION,M,34,N,2017,06,bull,mordiscos,others/unknown
SPAIN,M,82,N,2017,06,others/unknown,laceración,manos
FRENCH POLYNESIA,M,unkwown,N,2017,06,others/unknown,others/unknown,manos
BAHAMAS,F,unkwown,N,2017,06,others/unknown,others/unknown,manos
AUSTRALIA,M,48,N,2017,06,white,mordiscos,others/unknown
AUSTRALIA,F,unkwown,N,2017,06,others/unknown,others/unknown,others/unknown
USA,M,19,N,2017,06,others/unknown,laceración,pies
UNITED KINGDOM,M,30,N,2017,06,others/unknown,others/unknown,piernas
USA,M,unkwown,N,2017,06,others/unknown,laceración,others/unknown
BAHAMAS,F,32,N,2017,06,tiger,others/unknown,brazos
USA,F,20,N,2017,05,others/unknown,mordiscos,manos
USA,M,unkwown,N,2017,05,tiger,laceración,brazos
AUSTRALIA,M,73,N,2017,05,others/unknown,others/unknown,brazos
UNITED ARAB EMIRATES,M,41,N,2017,05,others/unknown,mordiscos,piernas
AUSTRALIA,M,29,N,2017,05,others/unknown,others/unknown,piernas
MEXICO,M,33,Y,2017,05,others/unknown,others/unknown,others/unknown
USA,F,18,Desconocido,2017,05,others/unknown,laceración,piernas
USA,F,unkwown,N,2017,04,others/unknown,others/unknown,piernas
SOUTH AFRICA,M,14,N,2017,04,others/unknown,others/unknown,piernas
USA,F,33,N,2017,04,others/unknown,mordiscos,pies
REUNION,M,28,Y,2017,04,others/unknown,others/unknown,others/unknown
NEW ZEALAND,F,25,N,2017,04,others/unknown,laceración,piernas
USA,F,unkwown,Desconocido,2017,04,others/unknown,laceración,piernas
"ST HELENA, British overseas territory",F,40,N,2017,04,others/unknown,mordiscos,piernas
USA,M,unkwown,Desconocido,2017,04,others/unknown,laceración,pies
USA,Desconocido,unkwown,N,2017,04,others/unknown,mordiscos,pies
AUSTRALIA,F,17,Y,2017,04,white,others/unknown,others/unknown
USA,M,28,N,2017,04,tiger,others/unknown,piernas
USA,M,17,N,2017,04,others/unknown,laceración,pies
USA,F,unkwown,N,2017,04,others/unknown,laceración,pies
SOUTH AFRICA,M,68,Desconocido,2017,04,others/unknown,others/unknown,others/unknown
USA,F,35,N,2017,04,others/unknown,mordiscos,piernas
USA,F,10,N,2017,04,others/unknown,laceración,piernas
USA,F,21,N,2017,04,others/unknown,others/unknown,manos
USA,M,16,N,2017,04,others/unknown,others/unknown,pies
USA,F,51,N,2017,04,others/unknown,others/unknown,piernas
AUSTRALIA,M,51,N,2017,04,others/unknown,mordiscos,others/unknown
USA,F,17,N,2017,04,bull,laceración,piernas
USA,M,58,N,2017,03,others/unknown,others/unknown,pies
AUSTRALIA,M,30,N,2017,03,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2017,03,white,mordiscos,others/unknown
PHILIPPINES,M,25,N,2017,03,others/unknown,others/unknown,piernas
BAHAMAS,M,58,N,2017,03,lemon,laceración,piernas
AUSTRALIA,F,unkwown,N,2017,02,bull,mordiscos,manos
AUSTRALIA,M,unkwown,N,2017,02,others/unknown,others/unknown,others/unknown
REUNION,M,26,Y,2017,02,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,26,N,2017,02,others/unknown,mordiscos,piernas
USA,M,22,N,2017,02,others/unknown,others/unknown,manos
BRAZIL,F,unkwown,N,2017,02,lemon,others/unknown,manos
SOUTH AFRICA,M,unkwown,N,2017,02,tiger,others/unknown,others/unknown
USA,Desconocido,unkwown,N,2017,02,white,mordiscos,others/unknown
BAHAMAS,M,37,N,2017,02,reef,laceración,brazos
BRAZIL,M,21,N,2017,01,others/unknown,laceración,manos
USA,M,14,N,2017,01,others/unknown,herida,brazos
AUSTRALIA,M,55,N,2017,01,bull,others/unknown,tronco
AUSTRALIA,M,57,N,2017,01,others/unknown,others/unknown,manos
USA,M,unkwown,N,2017,01,others/unknown,others/unknown,manos
INDONESIA,M,48,N,2017,01,bull,others/unknown,brazos
AUSTRALIA,M,35,Desconocido,2017,01,bull,others/unknown,others/unknown
USA,M,47,N,2017,01,others/unknown,others/unknown,pies
AUSTRALIA,M,20,Desconocido,2017,01,others/unknown,others/unknown,pies
USA,M,16,N,2016,12,others/unknown,laceración,brazos
AUSTRALIA,F,unkwown,N,2016,12,others/unknown,mordiscos,others/unknown
SOUTH AFRICA,M,55,N,2016,12,white,others/unknown,others/unknown
AUSTRALIA,M,61,N,2016,12,others/unknown,others/unknown,pies
FRENCH POLYNESIA,M,45,N,2016,12,others/unknown,others/unknown,manos
USA,M,19,Desconocido,2016,12,others/unknown,others/unknown,pies
AUSTRALIA,M,20,N,2016,12,wobbegong,laceración,manos
AUSTRALIA,M,65,N,2016,12,white,others/unknown,pies
AUSTRALIA,M,73,N,2016,11,sevengill,laceración,manos
USA,F,58,N,2016,11,tiger,others/unknown,piernas
USA,M,41,N,2016,10,others/unknown,laceración,pies
USA,M,42,N,2016,10,others/unknown,laceración,manos
AUSTRALIA,M,36,N,2016,10,others/unknown,laceración,piernas
USA,M,36,N,2016,10,others/unknown,others/unknown,piernas
AUSTRALIA,M,unkwown,N,2016,10,others/unknown,others/unknown,tronco
USA,F,66,N,2016,10,others/unknown,others/unknown,piernas
MEXICO,M,unkwown,Desconocido,2016,10,white,others/unknown,others/unknown
AUSTRALIA,M,25,N,2016,10,others/unknown,mordiscos,piernas
USA,M,29,N,2016,10,others/unknown,herida,piernas
USA,M,21,N,2016,10,others/unknown,others/unknown,pies
USA,M,32,N,2016,10,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,17,N,2016,09,white,laceración,piernas
USA,M,16,N,2016,09,others/unknown,others/unknown,piernas
USA,M,36,N,2016,09,others/unknown,laceración,manos
USA,M,43,N,2016,09,others/unknown,laceración,piernas
USA,M,43,N,2016,09,others/unknown,mordiscos,others/unknown
AUSTRALIA,M,unkwown,N,2016,09,others/unknown,others/unknown,piernas
AUSTRALIA,M,unkwown,N,2016,09,others/unknown,others/unknown,others/unknown
AUSTRALIA,Desconocido,unkwown,N,2016,09,others/unknown,golpe,others/unknown
USA,M,65,N,2016,09,others/unknown,others/unknown,brazos
USA,F,51,N,2016,09,tiger,laceración,tronco
NEW CALEDONIA,M,50,Y,2016,09,others/unknown,others/unknown,others/unknown
USA,F,12,N,2016,09,others/unknown,laceración,piernas
AUSTRALIA,M,unkwown,N,2016,09,others/unknown,others/unknown,others/unknown
USA,M,9,N,2016,09,others/unknown,mordiscos,pies
USA,M,22,N,2016,09,white,laceración,others/unknown
MEXICO,Desconocido,unkwown,Desconocido,2016,09,others/unknown,others/unknown,others/unknown
USA,M,25,N,2016,08,bull,laceración,pies
USA,M,37,N,2016,08,others/unknown,others/unknown,pies
REUNION,M,20,N,2016,08,bull,mordiscos,pies
USA,M,49,N,2016,08,others/unknown,others/unknown,pies
BAHAMAS,M,15,N,2016,08,others/unknown,laceración,piernas
USA,M,21,N,2016,08,tiger,others/unknown,others/unknown
USA,M,22,N,2016,08,blacktip,mordiscos,others/unknown
SPAIN,M,40,N,2016,07,blue,laceración,manos
CHINA,M,72,N,2016,07,others/unknown,laceración,piernas
AUSTRALIA,M,unkwown,N,2016,07,white,others/unknown,others/unknown
USA,M,43,N,2016,07,nurse,laceración,brazos
AUSTRALIA,M,18,N,2016,07,others/unknown,others/unknown,piernas
JAPAN,M,29,N,2016,07,others/unknown,laceración,piernas
AUSTRALIA,M,36,N,2016,07,others/unknown,golpe,piernas
BAHAMAS,M,unkwown,N,2016,07,bull,laceración,piernas
AUSTRALIA,M,31,N,2016,07,reef,laceración,piernas
USA,Desconocido,unkwown,N,2016,07,tiger,mordiscos,others/unknown
USA,F,9,N,2016,07,others/unknown,others/unknown,piernas
USA,F,11,N,2016,07,others/unknown,others/unknown,others/unknown
USA,M,61,N,2016,07,white,others/unknown,others/unknown
USA,M,unkwown,N,2016,07,others/unknown,herida,pies
BAHAMAS,M,unkwown,N,2016,07,lemon,others/unknown,others/unknown
SPAIN,F,10,N,2016,07,others/unknown,others/unknown,piernas
USA,M,unkwown,N,2016,07,white,mordiscos,others/unknown
USA,M,59,N,2016,07,others/unknown,others/unknown,brazos
USA,M,unkwown,N,2016,07,white,mordiscos,others/unknown
USA,F,42,N,2016,07,others/unknown,others/unknown,piernas
AUSTRALIA,M,34,N,2016,07,nurse,others/unknown,piernas
USA,M,35,N,2016,06,others/unknown,others/unknown,others/unknown
USA,M,11,N,2016,06,others/unknown,others/unknown,pies
COLUMBIA,M,59,N,2016,06,reef,mordiscos,manos
SOUTH AFRICA,M,43,N,2016,06,white,others/unknown,piernas
USA,M,42,N,2016,06,others/unknown,laceración,pies
USA,M,unkwown,N,2016,06,others/unknown,others/unknown,piernas
USA,M,unkwown,N,2016,06,others/unknown,others/unknown,brazos
AUSTRALIA,M,19,N,2016,06,others/unknown,others/unknown,others/unknown
USA,F,6,N,2016,06,others/unknown,others/unknown,piernas
USA,M,19,N,2016,06,others/unknown,laceración,manos
USA,M,27,Desconocido,2016,06,others/unknown,others/unknown,others/unknown
USA,M,64,N,2016,06,others/unknown,mordiscos,piernas
AUSTRALIA,F,60,Y,2016,06,others/unknown,others/unknown,others/unknown
EGYPT,M,23,N,2016,06,mako,mordiscos,piernas
AUSTRALIA,M,unkwown,Desconocido,2016,06,whaler,others/unknown,others/unknown
NEW CALEDONIA,M,unkwown,N,2016,06,others/unknown,laceración,pies
AUSTRALIA,M,29,Y,2016,05,white,others/unknown,others/unknown
USA,F,52,N,2016,05,others/unknown,others/unknown,tronco
USA,M,13,N,2016,05,others/unknown,others/unknown,piernas
USA,F,57,N,2016,05,others/unknown,herida,piernas
USA,F,22,N,2016,05,bull,laceración,pies
USA,F,11,N,2016,05,others/unknown,others/unknown,tronco
USA,M,48,N,2016,05,blacktip,mordiscos,pies
USA,F,23,N,2016,05,nurse,others/unknown,brazos
USA,M,59,N,2016,05,others/unknown,laceración,tronco
NEW ZEALAND,M,51,N,2016,05,mako,mordiscos,pies
INDONESIA,M,24,N,2016,04,bull,mordiscos,brazos
USA,M,15,N,2016,04,others/unknown,others/unknown,pies
SOUTH AFRICA,M,unkwown,N,2016,04,white,mordiscos,others/unknown
AUSTRALIA,M,12,N,2016,04,wobbegong,others/unknown,pies
FRENCH POLYNESIA,M,22,N,2016,04,reef,laceración,piernas
FRENCH POLYNESIA,M,26,N,2016,04,reef,laceración,piernas
USA,M,26,N,2016,04,bull,mordiscos,brazos
NEW CALEDONIA,F,69,Y,2016,04,tiger,others/unknown,others/unknown
CAPE VERDE,M,60,Desconocido,2016,04,others/unknown,others/unknown,others/unknown
USA,M,34,N,2016,04,others/unknown,mordiscos,manos
USA,M,unkwown,Desconocido,2016,04,others/unknown,others/unknown,others/unknown
USA,F,46,N,2016,03,others/unknown,others/unknown,pies
AUSTRALIA,M,22,N,2016,03,others/unknown,others/unknown,piernas
USA,M,14,Desconocido,2016,03,others/unknown,others/unknown,brazos
AUSTRALIA,M,41,N,2016,03,others/unknown,others/unknown,others/unknown
BAHAMAS,M,9,N,2016,03,nurse,others/unknown,tronco
